Time,Temperature (F),Pressure (hPa),Humidity (%),Gas (KOhms),Altitude (ft)
2026-03-20 19:07:17,82.49,989.11,42.03,86.55,665.56
2026-03-20 19:07:17,81.93,989.12,41.87,83.46,665.29
2026-03-20 19:07:17,81.60,989.13,41.96,82.23,665.29
2026-03-20 19:07:17,81.41,989.12,41.78,81.75,665.29
2026-03-20 19:07:17,81.29,989.13,41.74,81.67,665.29
2026-03-20 19:09:12,81.17,989.12,41.72,85.32,665.29
2026-03-20 19:09:47,82.35,989.11,41.21,95.15,665.56
2026-03-20 19:17:25,81.88,989.11,40.98,101.71,665.56
2026-03-20 19:17:36,81.34,989.12,41.15,96.62,665.56
2026-03-20 19:17:47,81.04,989.11,40.99,94.08,665.29
2026-03-20 19:17:58,80.87,989.12,41.11,93.90,665.56
2026-03-20 19:18:08,80.79,989.12,41.04,93.17,665.56
2026-03-20 19:18:19,80.75,989.12,41.07,91.45,665.29
2026-03-20 19:18:30,80.74,989.12,41.31,90.95,665.29
2026-03-20 19:18:41,80.74,989.12,41.18,91.45,665.56
2026-03-20 19:18:51,80.75,989.12,41.14,90.95,665.56
2026-03-20 19:19:02,80.77,989.12,41.14,91.05,665.01
2026-03-20 19:19:13,80.79,989.13,41.17,90.95,665.01
2026-03-20 19:19:23,80.80,989.13,41.22,90.76,665.01
2026-03-20 19:19:34,80.82,989.13,41.34,90.76,665.01
2026-03-20 19:19:45,80.84,989.13,41.27,90.37,665.29
2026-03-20 19:19:56,80.85,989.13,41.29,90.56,665.01
2026-03-20 19:20:06,80.87,989.13,41.32,89.98,665.29
2026-03-20 19:20:17,80.88,989.13,41.30,89.88,665.01
2026-03-20 19:20:28,80.89,989.14,41.35,90.07,664.73
2026-03-20 19:20:39,80.89,989.14,41.36,90.17,665.01
2026-03-20 19:20:49,80.90,989.14,41.46,90.07,665.01
2026-03-20 19:21:00,80.91,989.14,41.63,89.40,665.01
